city,population
"Ayrshire, IA",134
"Badger, IA",532
"Bagley, IA",286
"Baldwin, IA",108
"Balltown, IA",69
"Bancroft, IA",696
"Bankston, IA",27
"Barnum, IA",181
"Bassett, IA",63
"Batavia, IA",549
"Baxter, IA",1132
"Bayard, IA",451
"Beacon, IA",487
"Beaconsfield, IA",14
"Beaman, IA",183
"Beaver, IA",50
"Bedford, IA",1384
"Bellevue, IA",2209
"Belmond, IA",2263
"Bennett, IA",378
"Benton, IA",41
"Berkley, IA",33
"Bernard, IA",118
"Bertram, IA",290
"Bettendorf, IA",36543
"Bevington, IA",69
"Birmingham, IA",421
"Blairsburg, IA",200
"Blairstown, IA",659
"Blakesburg, IA",285
"Blanchard, IA",36
"Blencoe, IA",197
"Blockton, IA",185
"Bloomfield, IA",2679
"Bode, IA",290
"Bonaparte, IA",403
"Bondurant, IA",6958
"Boone, IA",12384
"Bouton, IA",122
"Boxholm, IA",186
"Boyden, IA",679
"Braddyville, IA",152
"Bradgate, IA",83
"Brandon, IA",320
"Brayton, IA",110
"Breda, IA",476
"Bridgewater, IA",151
"Brighton, IA",640
"Bristow, IA",149
"Britt, IA",1955
"Bronson, IA",320
"Brooklyn, IA",1400
"Brunsville, IA",153
"Buckeye, IA",108
"Buffalo, IA",1272
"Burlington, IA",24713
"Burt, IA",498
"Bussey, IA",413
"Calamus, IA",401
"Callender, IA",346
"Calmar, IA",917
"Calumet, IA",157
"Camanche, IA",4365
"Cambridge, IA",796
"Cantril, IA",207
"Carbon, IA",30
"Carlisle, IA",4294
"Carpenter, IA",106
"Carroll, IA",9833
"Carson, IA",809
"Cascade, IA",2329
"Casey, IA",401
"Castalia, IA",158
"Castana, IA",133
"Centerville, IA",5445
"Centralia, IA",128
"Chariton, IA",4141
"Charlotte, IA",361
"Chatsworth, IA",81
"Chelsea, IA",249
"Cherokee, IA",4869
"Chester, IA",120
"Chillicothe, IA",97
"Churdan, IA",364
"Cincinnati, IA",344
"Clare, IA",135
"Clarence, IA",975
"Clarinda, IA",5366
"Clarion, IA",2709
"Clarksville, IA",1346
"Clayton, IA",39
"Clearfield, IA",343
"Cleghorn, IA",216
"Clemons, IA",141
"Clermont, IA",583
"Clinton, IA",25093
"Clio, IA",74
"Clive, IA",17242
"Clutier, IA",204
"Coburg, IA",39
"Coggon, IA",667
"Coin, IA",174
"Colesburg, IA",377
"Colfax, IA",2064
"Collins, IA",467
"Colo, IA",820
"Colwell, IA",70
"Conesville, IA",427
"Conrad, IA",1077
"Conway, IA",40
"Coppock, IA",48
"Coralville, IA",22290
"Corning, IA",1433
"Correctionville, IA",806
"Corwith, IA",254
"Corydon, IA",1600
"Cotter, IA",46
"Coulter, IA",263
"Craig, IA",92
"Crawfordsville, IA",265
"Crescent, IA",616
"Cresco, IA",3739
"Creston, IA",7713
"Cromwell, IA",108
"Cumberland, IA",247
"Cumming, IA",405
"Curlew, IA",55
"Cushing, IA",217
"Cylinder, IA",82
"Dana, IA",68
"Danbury, IA",340
"Danville, IA",899
"Davenport, IA",101590
"Dawson, IA",126
"Dayton, IA",775
"Decorah, IA",7576
"Dedham, IA",256
"Defiance, IA",263
"Delaware, IA",151
"Delhi, IA",469
"Delmar, IA",483
"Deloit, IA",255
"Delphos, IA",24
"Delta, IA",318
"Denison, IA",8244
"Denver, IA",1856
"Derby, IA",112
"DeWitt, IA",5192
"Dexter, IA",585
"Diagonal, IA",317
"Dickens, IA",171
"Dike, IA",1272
"Dixon, IA",251
"Dolliver, IA",59
"Donahue, IA",368
"Donnellson, IA",854
"Doon, IA",601
"Dougherty, IA",57
"Dows, IA",504
"Drakesville, IA",190
"Dubuque, IA",57882
"Dumont, IA",602
"Duncombe, IA",383
"Dundee, IA",163
"Dunkerton, IA",849
"Dunlap, IA",973
"Durango, IA",19
"Durant, IA",1864
"Dyersville, IA",4329
"Dysart, IA",1313
"Earlham, IA",1410
"Earling, IA",409
"Earlville, IA",772
"Early, IA",515
"Eddyville, IA",1008
"Edgewood, IA",861
"Elberon, IA",188
"Eldon, IA",915
"Eldora, IA",2612
"Eldridge, IA",6846
"Elgin, IA",634
"Elkader, IA",1217
"Elkhart, IA",918
"Elkport, IA",36
"Elliott, IA",318
"Ellston, IA",39
"Ellsworth, IA",489
"Elma, IA",527
"Ely, IA",2343
"Emerson, IA",449
"Emmetsburg, IA",3684
"Epworth, IA",1978
"Essex, IA",739
"Estherville, IA",5666
"Evansdale, IA",4743
"Everly, IA",550
"Exira, IA",769
"Exline, IA",154
"Fairbank, IA",1133
"Fairfax, IA",2856
"Fairfield, IA",10425
"Farley, IA",1750
"Farmersburg, IA",268
"Farmington, IA",622
"Farnhamville, IA",344
"Farragut, IA",446
"Fayette, IA",1441
"Fenton, IA",233
"Ferguson, IA",122
"Fertile, IA",360
"Floris, IA",143
"Floyd, IA",315
"Fonda, IA",575
"Fontanelle, IA",622
"Fostoria, IA",223
"Franklin, IA",132
"Fraser, IA",103
"Fredericksburg, IA",923
"Frederika, IA",203
"Fredonia, IA",235
"Fremont, IA",721
"Fruitland, IA",982
"Galt, IA",31
"Galva, IA",419
"Garber, IA",85
"Garnavillo, IA",724
"Garner, IA",3033
"Garrison, IA",360
"Garwin, IA",493
"Geneva, IA",153
"George, IA",1042
"Gibson, IA",60
"Gilbert, IA",1147
"Gilbertville, IA",728
"Gilman, IA",484
"Gladbrook, IA",858
"Glenwood, IA",5389
"Glidden, IA",1106
"Goldfield, IA",593
"Goodell, IA",128
"Gowrie, IA",953
"Graettinger, IA",795
"Graf, IA",81
"Grafton, IA",244
"Grandview, IA",526
"Granger, IA",1508
"Grant, IA",83
"Granville, IA",304
"Gravity, IA",181
"Gray, IA",57
"Greeley, IA",242
"Greene, IA",1063
"Greenfield, IA",1838
"Greenville, IA",68
"Grimes, IA",14804
"Grinnell, IA",9116
"Griswold, IA",944
"Gruver, IA",83
"Guernsey, IA",60
"Guttenberg, IA",1804
"Halbur, IA",256
"Hamburg, IA",1060
"Hamilton, IA",134
"Hampton, IA",4205
"Hancock, IA",196
"Hanlontown, IA",220
"Hansell, IA",90
"Harcourt, IA",278
"Hardy, IA",42
"Harlan, IA",4766
"Harper, IA",110
"Harris, IA",157
"Hartford, IA",777
"Hartley, IA",1574
"Hartwick, IA",80
"Harvey, IA",244
"Hastings, IA",152
"Havelock, IA",124
"Haverhill, IA",167
"Hawarden, IA",2444
"Hawkeye, IA",408
"Hayesville, IA",49
"Hazleton, IA",833
"Hedrick, IA",754
"Henderson, IA",185
"Hepburn, IA",17
"Hiawatha, IA",7420
"Hills, IA",804
"Hillsboro, IA",177
"Hinton, IA",948
"Holland, IA",277
"Holstein, IA",1370
"Hopkinton, IA",597
"Hornick, IA",218
"Hospers, IA",696
"Houghton, IA",136
"Hubbard, IA",801
"Hudson, IA",2468
"Hull, IA",2299
"Humboldt, IA",4587
"Humeston, IA",484
"Huxley, IA",4036
"Imogene, IA",70
"Independence, IA",6124
"Indianola, IA",16015
"Inwood, IA",849
"Ionia, IA",275
"Ireton, IA",599
"Irwin, IA",311
"Jamaica, IA",218
"Janesville, IA",986
"Jefferson, IA",4102
"Jesup, IA",2703
"Johnston, IA",22582
"Joice, IA",210
"Jolley, IA",37
"Kalona, IA",2537
"Kamrar, IA",190
"Kanawha, IA",595
"Kellerton, IA",297
"Kelley, IA",300
"Kellogg, IA",588
"Kensett, IA",256
"Keokuk, IA",10157
"Keosauqua, IA",908
"Keota, IA",971
"Keswick, IA",241
"Keystone, IA",612
"Kimballton, IA",280
"Kingsley, IA",1402
"Kinross, IA",72
"Kirkman, IA",61
"Kirkville, IA",175
"Kiron, IA",266
"Klemme, IA",463
"Knierim, IA",58
"Knoxville, IA",7168
"Lacona, IA",352
"Ladora, IA",274
"Lakeside, IA",689
"Lakota, IA",279
"Lamoni, IA",2249
"Lamont, IA",457
"Lanesboro, IA",109
"Lansing, IA",935
"Larchwood, IA",891
"Larrabee, IA",131
"Latimer, IA",470
"Laurel, IA",231
"Laurens, IA",1120
"Lawler, IA",419
"Lawton, IA",980
"Ledyard, IA",120
"Lehigh, IA",392
"Leighton, IA",158
"Leland, IA",271
"Lenox, IA",1389
"Leon, IA",1823
"Lester, IA",302
"Letts, IA",373
"Lewis, IA",399
"Libertyville, IA",341
"Lidderdale, IA",171
"Lincoln, IA",148
"Linden, IA",208
"Lineville, IA",220
"Lisbon, IA",2247
"Liscomb, IA",293
"Livermore, IA",362
"Lockridge, IA",290
"Logan, IA",1418
"Lohrville, IA",345
"Lorimor, IA",343
"Lovilia, IA",509
"Lowden, IA",773
"Luana, IA",279
"Lucas, IA",209
"Luther, IA",133
"Luxemburg, IA",247
"Luzerne, IA",93
"Lynnville, IA",393
"Lytton, IA",289
"McCallsburg, IA",320
"McCausland, IA",311
"McClelland, IA",155
"Macedonia, IA",243
"McGregor, IA",838
"McIntire, IA",125
"Macksburg, IA",118
"Madrid, IA",2549
"Magnolia, IA",176
"Malcom, IA",272
"Mallard, IA",258
"Maloy, IA",28
"Malvern, IA",1115
"Manchester, IA",4986
"Manilla, IA",746
"Manly, IA",1278
"Manning, IA",1422
"Manson, IA",1566
"Mapleton, IA",1157
"Maquoketa, IA",5990
"Marathon, IA",227
"Marcus, IA",1054
"Marengo, IA",2466
"Marion, IA",40359
"Marne, IA",112
"Marquette, IA",433
"Marshalltown, IA",26666
"Martelle, IA",250
"Martensdale, IA",461
"Martinsburg, IA",109
"Marysville, IA",69
"Masonville, IA",120
"Massena, IA",336
"Matlock, IA",87
"Maurice, IA",271
"Maxwell, IA",903
"Maynard, IA",488
"Maysville, IA",185
"Mechanicsville, IA",1129
"Mediapolis, IA",1517
"Melbourne, IA",794
"Melcher-Dallas, IA",1244
"Melrose, IA",104
"Melvin, IA",198
"Menlo, IA",347
"Meriden, IA",148
"Merrill, IA",731
"Meservey, IA",238
"Middletown, IA",335
"Miles, IA",437
"Milford, IA",2997
"Millersburg, IA",142
"Millerton, IA",42
"Milo, IA",761
"Milton, IA",398
"Minburn, IA",352
"Minden, IA",598
"Mingo, IA",309
"Mitchell, IA",130
"Mitchellville, IA",2258
"Modale, IA",264
"Mondamin, IA",374
"Monmouth, IA",154
"Monona, IA",1471
"Monroe, IA",1894
"Montezuma, IA",1412
"Monticello, IA",3880
"Montour, IA",243
"Montrose, IA",778
"Moorhead, IA",204
"Moorland, IA",156
"Moravia, IA",636
"Morley, IA",113
"Morrison, IA",91
"Moulton, IA",578
"Moville, IA",1635
"Murray, IA",702
"Muscatine, IA",23631
"Mystic, IA",409
"Nashua, IA",1589
"Nemaha, IA",81
"Neola, IA",891
"Nevada, IA",6677
"Newell, IA",852
"Newhall, IA",858
"Newton, IA",15182
"Nichols, IA",362
"Nodaway, IA",103
"Northboro, IA",56
"Northwood, IA",1955
"Norwalk, IA",11938
"Norway, IA",528
"Numa, IA",89
"Oakland, IA",1501
"Oakville, IA",169
"Ocheyedan, IA",459
"Odebolt, IA",943
"Oelwein, IA",5900
"Ogden, IA",1979
"Okoboji, IA",792
"Olds, IA",223
"Olin, IA",687
"Ollie, IA",210
"Onawa, IA",2764
"Onslow, IA",193
"Orchard, IA",71
"Orient, IA",377
"Orleans, IA",587
"Osage, IA",3555
"Osceola, IA",5242
"Oskaloosa, IA",11506
"Ossian, IA",778
"Osterdock, IA",56
"Otho, IA",507
"Oto, IA",103
"Ottosen, IA",37
"Ottumwa, IA",24368
"Owasa, IA",42
"Oxford, IA",792
"Oyens, IA",102
"Packwood, IA",227
"Palmer, IA",149
"Palo, IA",1066
"Panama, IA",208
"Panora, IA",1067
"Parkersburg, IA",1928
"Parnell, IA",264
"Paton, IA",230
"Patterson, IA",161
"Paullina, IA",977
"Pella, IA",10237
"Peosta, IA",1857
"Perry, IA",7676
"Persia, IA",287
"Peterson, IA",309
"Pierson, IA",354
"Pioneer, IA",22
"Pisgah, IA",240
"Plainfield, IA",414
"Plano, IA",67
"Pleasanton, IA",44
"Pleasantville, IA",1696
"Plover, IA",69
"Plymouth, IA",362
"Pocahontas, IA",1634
"Pomeroy, IA",613
"Popejoy, IA",75
"Portsmouth, IA",178
"Postville, IA",2053
"Prairieburg, IA",188
"Prescott, IA",237
"Preston, IA",959
"Primghar, IA",856
"Princeton, IA",946
"Protivin, IA",270
"Pulaski, IA",289
"Quasqueton, IA",564
"Quimby, IA",292
"Radcliffe, IA",524
"Rake, IA",209
"Ralston, IA",73
"Randalia, IA",56
"Randall, IA",163
"Randolph, IA",155
"Rathbun, IA",86
"Raymond, IA",793
"Readlyn, IA",846
"Reasnor, IA",155
"Redding, IA",78
"Redfield, IA",816
"Reinbeck, IA",1626
"Rembrandt, IA",194
"Remsen, IA",1617
"Renwick, IA",262
"Rhodes, IA",297
"Riceville, IA",764
"Richland, IA",574
"Rickardsville, IA",176
"Ricketts, IA",135
"Ridgeway, IA",287
"Rinard, IA",50
"Ringsted, IA",370
"Rippey, IA",273
"Riverdale, IA",435
"Riverside, IA",1022
"Riverton, IA",279
"Robins, IA",3537
"Rockford, IA",822
"Rockwell, IA",990
"Rodman, IA",41
"Rodney, IA",57
"Roland, IA",1254
"Rolfe, IA",532
"Rome, IA",116
"Rossie, IA",68
"Rowan, IA",150
"Rowley, IA",270
"Royal, IA",409
"Rudd, IA",346
"Runnells, IA",504
"Russell, IA",536
"Ruthven, IA",682
"Rutland, IA",122
"Ryan, IA",346
"Sabula, IA",554
"Sageville, IA",101
"Salem, IA",384
"Salix, IA",387
"Sanborn, IA",1381
"Sandyville, IA",53
"Scarville, IA",67
"Schaller, IA",723
"Schleswig, IA",857
"Scranton, IA",524
"Searsboro, IA",147
"Seymour, IA",701
"Shambaugh, IA",179
"Sharpsburg, IA",85
"Sheffield, IA",1106
"Shelby, IA",612
"Sheldahl, IA",321
"Sheldon, IA",5082
"Shellsburg, IA",972
"Shenandoah, IA",4820
"Sherrill, IA",178
"Shueyville, IA",655
"Sibley, IA",2574
"Sidney, IA",1047
"Sigourney, IA",2017
"Slater, IA",1458
"Sloan, IA",987
"Smithland, IA",227
"Soldier, IA",164
"Solon, IA",2690
"Somers, IA",106
"Spencer, IA",10952
"Spillville, IA",344
"Spragueville, IA",77
"Springbrook, IA",146
"Springville, IA",1137
"Stacyville, IA",463
"Stanhope, IA",396
"Stanley, IA",120
"Stanton, IA",643
"Stanwood, IA",658
"Stockport, IA",276
"Stockton, IA",191
"Stout, IA",212
"Stratford, IA",699
"Struble, IA",80
"Stuart, IA",1728
"Sully, IA",831
"Sumner, IA",1962
"Superior, IA",119
"Sutherland, IA",596
"Swaledale, IA",158
"Swan, IA",75
"Swisher, IA",953
"Tabor, IA",989
"Tama, IA",2732
"Templeton, IA",334
"Tennant, IA",62
"Terril, IA",336
"Thayer, IA",55
"Thompson, IA",469
"Thor, IA",181
"Thornburg, IA",62
"Thornton, IA",402
"Thurman, IA",214
"Tiffin, IA",4157
"Tingley, IA",173
"Tipton, IA",3223
"Titonka, IA",443
"Toledo, IA",2143
"Toronto, IA",117
"Traer, IA",1596
"Treynor, IA",965
"Tripoli, IA",1360
"Truesdale, IA",77
"Truro, IA",491
"Turin, IA",63
"Udell, IA",43
"Underwood, IA",956
"Union, IA",381
"Unionville, IA",95
"Urbana, IA",1494
"Urbandale, IA",44379
"Ute, IA",339
"Vail, IA",417
"Valeria, IA",59
"Varina, IA",65
"Ventura, IA",713
"Victor, IA",868
"Villisca, IA",1142
"Vincent, IA",161
"Vining, IA",48
"Vinton, IA",5075
"Volga, IA",196
"Wadena, IA",240
"Wahpeton, IA",345
"Walcott, IA",1634
"Walford, IA",1445
"Walker, IA",789
"Wallingford, IA",173
"Walnut, IA",769
"Wapello, IA",1999
"Washington, IA",7230
"Washta, IA",223
"Waterloo, IA",67328
"Waterville, IA",144
"Waucoma, IA",245
"Waukee, IA",24089
"Waukon, IA",3625
"Waverly, IA",10198
"Wayland, IA",943
"Webb, IA",128
"Webster, IA",71
"Weldon, IA",115
"Wellman, IA",1395
"Wellsburg, IA",687
"Welton, IA",148
"Wesley, IA",365
"Westfield, IA",128
"Westgate, IA",198
"Westphalia, IA",118
"Westside, IA",289
"Westwood, IA",110
"Wheatland, IA",723
"Whiting, IA",723
"Whittemore, IA",476
"Whitten, IA",145
"Willey, IA",98
"Williams, IA",320
"Williamsburg, IA",3164
"Williamson, IA",154
"Wilton, IA",2824
"Winfield, IA",1088
"Winterset, IA",5383
"Winthrop, IA",849
"Wiota, IA",107
"Woden, IA",206
"Woodbine, IA",1385
"Woodburn, IA",194
"Woodward, IA",1448
"Woolstock, IA",161
"Worthington, IA",395
"Wyoming, IA",515
"Yale, IA",239
"Yetter, IA",32
"Yorktown, IA",86
"Zearing, IA",518
"Zwingle, IA",92
"Abbyville, KS",85
"Abilene, KS",6201
"Admire, KS",152
"Agenda, KS",66
"Agra, KS",241
"Albert, KS",164
"Alden, KS",142
"Alexander, KS",59
"Allen, KS",172
"Alma, KS",780
"Almena, KS",378
"Altamont, KS",1019
"Alton, KS",91
"Altoona, KS",379
"Americus, KS",879
"Andale, KS",987
"Andover, KS",13405
"Anthony, KS",2070
"Arcadia, KS",309
"Argonia, KS",471
"Arlington, KS",449
"Arma, KS",1420
"Ashland, KS",775
"Assaria, KS",408
"Atchison, KS",10476
"Athol, KS",41
"Atlanta, KS",181
"Attica, KS",557
"Atwood, KS",1217
"Auburn, KS",1211
"Augusta, KS",9345
"Aurora, KS",56
"Axtell, KS",403
"Barnard, KS",63
"Barnes, KS",152
"Bartlett, KS",73
"Basehor, KS",6496
"Bassett, KS",21
"Bazine, KS",292
"Beattie, KS",189
"Belleville, KS",1879
"Beloit, KS",3625
"Belpre, KS",82
"Belvue, KS",200
"Benedict, KS",66
"Bennington, KS",612
"Bentley, KS",517
"Benton, KS",871
"Bern, KS",164
"Beverly, KS",147
"Bison, KS",233
"Bogue, KS",136
"Brewster, KS",292
"Bronson, KS",305
"Brookville, KS",253
"Brownell, KS",26
"Bucklin, KS",771
"Buffalo, KS",209
"Buhler, KS",1278
"Burden, KS",526
"Burdett, KS",221
"Burlingame, KS",901
"Burlington, KS",2543
"Burns, KS",209
"Burrton, KS",860
"Bushong, KS",33
"Bushton, KS",255
"Byers, KS",33
"Caldwell, KS",987
"Cambridge, KS",82
"Caney, KS",1968
"Canton, KS",695
"Carbondale, KS",1369
"Carlton, KS",40
"Cassoday, KS",123
"Cedar, KS",13
"Centralia, KS",525
"Chanute, KS",9042
"Chapman, KS",1340
"Chase, KS",438
"Chautauqua, KS",91
"Cheney, KS",2167
"Cherokee, KS",708
"Cherryvale, KS",2138
"Chetopa, KS",1018
"Cimarron, KS",2201
"Circleville, KS",161
"Claflin, KS",601
"Clayton, KS",55
"Clearwater, KS",2552
"Clifton, KS",505
"Climax, KS",65
"Clyde, KS",658
"Coats, KS",76
"Coffeyville, KS",9275
"Colby, KS",5370
"Coldwater, KS",736
"Collyer, KS",100
"Colony, KS",414
"Columbus, KS",3052
"Colwich, KS",1467
"Concordia, KS",4987
"Coolidge, KS",90
"Copeland, KS",297
"Corning, KS",164
"Courtland, KS",264
"Coyville, KS",42
"Cuba, KS",144
"Cullison, KS",97
"Culver, KS",114
"Cunningham, KS",438
"Damar, KS",125
"Danville, KS",34
"Dearing, KS",379
"Deerfield, KS",690
"Delia, KS",176
"Delphos, KS",330
"Denison, KS",177
"Denton, KS",141
"Derby, KS",24943
"Dexter, KS",274
"Dighton, KS",902
"Dorrance, KS",179
"Douglass, KS",1658
"Downs, KS",814
"Dresden, KS",40
"Dunlap, KS",28
"Durham, KS",109
"Dwight, KS",259
"Earlton, KS",52
"Eastborough, KS",732
"Easton, KS",258
"Edgerton, KS",1784
"Edmond, KS",46
"Edna, KS",402
"Edwardsville, KS",4495
"Effingham, KS",522
"Elbing, KS",226
"Elgin, KS",79
"Elkhart, KS",1758
"Ellinwood, KS",1943
"Ellis, KS",2011
"Ellsworth, KS",2961
"Elmdale, KS",52
"Elsmore, KS",67
"Elwood, KS",1192
"Emmett, KS",186
"Emporia, KS",24598
"Englewood, KS",69
"Ensign, KS",183
"Enterprise, KS",784
"Erie, KS",1087
"Esbon, KS",92
"Eskridge, KS",505
"Eudora, KS",6411
"Eureka, KS",2346
"Everest, KS",274
"Fairview, KS",248
"Fairway, KS",3960
"Florence, KS",435
"Fontana, KS",239
"Ford, KS",216
"Formoso, KS",86
"Fowler, KS",517
"Frankfort, KS",695
"Frederick, KS",19
"Fredonia, KS",2225
"Freeport, KS",4
"Frontenac, KS",3388
"Fulton, KS",155
"Galatia, KS",36
"Galena, KS",2858
"Galesburg, KS",119
"Galva, KS",876
"Gardner, KS",22031
"Garfield, KS",169
"Garnett, KS",3235
"Gas, KS",501
"Gaylord, KS",105
"Gem, KS",85
"Geneseo, KS",257
"Girard, KS",2671
"Glade, KS",90
"Glasco, KS",455
"Goddard, KS",4796
"Goessel, KS",501
"Goff, KS",118
"Goodland, KS",4406
"Gorham, KS",337
"Grainfield, KS",244
"Greeley, KS",296
"Green, KS",121
"Greenleaf, KS",305
"Greensburg, KS",778
"Grenola, KS",188
"Gridley, KS",324
"Grinnell, KS",230
"Gypsum, KS",391
"Haddam, KS",96
"Halstead, KS",2041
"Hamilton, KS",242
"Hamlin, KS",36
"Hanover, KS",648
"Hanston, KS",201
"Hardtner, KS",158
"Harper, KS",1317
"Hartford, KS",371
"Harveyville, KS",248
"Havana, KS",105
"Haven, KS",1188
"Havensville, KS",155
"Haviland, KS",672
"Hays, KS",20744
"Haysville, KS",11338
"Hazelton, KS",86
"Hepler, KS",131
"Herington, KS",2268
"Herndon, KS",130
"Hesston, KS",3742
"Hiawatha, KS",3118
"Highland, KS",995
"Hillsboro, KS",2816
"Hoisington, KS",2470
"Holcomb, KS",2073
"Hollenberg, KS",20
"Holton, KS",3208
"Holyrood, KS",415
"Hope, KS",329
"Horace, KS",66
"Horton, KS",1685
"Howard, KS",606
"Hoxie, KS",1193
"Hoyt, KS",630
"Hudson, KS",124
"Hugoton, KS",3745
"Humboldt, KS",1769
"Hunnewell, KS",64
"Hunter, KS",54
"Huron, KS",73
"Hutchinson, KS",40383
"Independence, KS",8505
"Ingalls, KS",289
"Inman, KS",1334
"Iola, KS",5266
"Isabel, KS",81
"Iuka, KS",156
"Jamestown, KS",263
"Jennings, KS",92
"Jetmore, KS",813
"Jewell, KS",402
"Kanopolis, KS",452
"Kanorado, KS",154
"Kechi, KS",2005
"Kensington, KS",437
"Kincaid, KS",116
"Kingman, KS",2842
"Kinsley, KS",1353
"Kiowa, KS",931
"Kirwin, KS",156
"Kismet, KS",435
"Labette, KS",66
"Lakin, KS",2141
"Lancaster, KS",283
"Lane, KS",225
"Langdon, KS",41
"Lansing, KS",11949
"Larned, KS",3671
"Latham, KS",138
"Latimer, KS",19
"Lawrence, KS",98193
"Leavenworth, KS",35957
"Leawood, KS",34727
"Lebanon, KS",198
"Lebo, KS",887
"Lecompton, KS",654
"Lehigh, KS",169
"Lenexa, KS",55625
"Lenora, KS",230
"Leon, KS",733
"Leona, KS",50
"Leonardville, KS",431
"Leoti, KS",1448
"LeRoy, KS",538
"Lewis, KS",416
"Liberal, KS",19174
"Liberty, KS",111
"Liebenthal, KS",94
"Lincolnville, KS",193
"Lindsborg, KS",3290
"Linn, KS",382
"Linwood, KS",419
"Logan, KS",534
"Longford, KS",72
"Longton, KS",308
"Lorraine, KS",127
"Louisburg, KS",4562
"Louisville, KS",225
"Lucas, KS",391
"Luray, KS",184
"Lyndon, KS",1021
"Lyons, KS",3504
"McCracken, KS",176
"McCune, KS",412
"McDonald, KS",157
"McFarland, KS",248
"Macksville, KS",530
"McLouth, KS",849
"McPherson, KS",13061
"Madison, KS",618
"Mahaska, KS",76
"Maize, KS",4934
"Manchester, KS",96
"Manhattan, KS",54604
"Mankato, KS",816
"Manter, KS",154
"Mapleton, KS",81
"Marion, KS",1775
"Marquette, KS",599
"Marysville, KS",3269
"Mayetta, KS",346
"Mayfield, KS",107
"Meade, KS",1523
"Melvern, KS",374
"Menlo, KS",59
"Meriden, KS",780
"Merriam, KS",11081
"Milan, KS",78
"Mildred, KS",23
"Milford, KS",511
"Miltonvale, KS",487
"Minneapolis, KS",1900
"Minneola, KS",679
"Mission, KS",9911
"Moline, KS",323
"Montezuma, KS",964
"Moran, KS",510
"Morganville, KS",190
"Morland, KS",146
"Morrill, KS",227
"Morrowville, KS",147
"Moscow, KS",299
"Moundridge, KS",1869
"Mulberry, KS",521
"Mullinville, KS",241
"Mulvane, KS",6489
"Munden, KS",93
"Muscotah, KS",167
"Narka, KS",86
"Nashville, KS",57
"Natoma, KS",295
"Neodesha, KS",2262
"Netawaka, KS",137
"Newton, KS",18861
"Nickerson, KS",998
"Niotaze, KS",73
"Norcatur, KS",144
"Norton, KS",2722
"Nortonville, KS",610
"Norwich, KS",440
"Oakley, KS",2075
"Oberlin, KS",1700
"Offerle, KS",183
"Ogden, KS",1958
"Oketo, KS",63
"Olathe, KS",140545
"Olivet, KS",67
"Olmitz, KS",105
"Olpe, KS",535
"Olsburg, KS",218
"Onaga, KS",682
"Oneida, KS",72
"Osawatomie, KS",4284
"Osborne, KS",1272
"Oskaloosa, KS",1057
"Oswego, KS",1680
"Otis, KS",260
"Ottawa, KS",12254
"Overbrook, KS",1023
"Oxford, KS",999
"Ozawkie, KS",620
"Palco, KS",267
"Palmer, KS",104
"Paola, KS",5719
"Paradise, KS",48
"Park, KS",113
"Parker, KS",266
"Parkerfield, KS",415
"Parkerville, KS",61
"Parsons, KS",9477
"Partridge, KS",240
"Paxico, KS",215
"Peabody, KS",1101
"Penalosa, KS",17
"Perry, KS",910
"Peru, KS",124
"Phillipsburg, KS",2445
"Pittsburg, KS",20050
"Plains, KS",1021
"Plainville, KS",1804
"Pleasanton, KS",1162
"Plevna, KS",98
"Pomona, KS",820
"Portis, KS",91
"Potwin, KS",437
"Powhattan, KS",72
"Pratt, KS",6496
"Prescott, KS",268
"Preston, KS",146
"Princeton, KS",269
"Protection, KS",463
"Quenemo, KS",377
"Quinter, KS",1057
"Radium, KS",24
"Ramona, KS",177
"Randall, KS",62
"Randolph, KS",156
"Ransom, KS",260
"Rantoul, KS",186
"Raymond, KS",76
"Reading, KS",227
"Redfield, KS",143
"Republic, KS",107
"Reserve, KS",81
"Rexford, KS",225
"Richfield, KS",36
"Richmond, KS",456
"Riley, KS",952
"Robinson, KS",225
"Rolla, KS",356
"Roseland, KS",67
"Rossville, KS",1124
"Rozel, KS",140
"Russell, KS",4423
"Sabetha, KS",2583
"Salina, KS",46550
"Satanta, KS",1130
"Savonburg, KS",103
"Sawyer, KS",131
"Scammon, KS",444
"Scandia, KS",342
"Schoenchen, KS",205
"Scottsville, KS",23
"Scranton, KS",682
"Sedan, KS",998
"Sedgwick, KS",1658
"Selden, KS",211
"Seneca, KS",2075
"Severance, KS",90
"Severy, KS",231
"Seward, KS",62
"Sharon, KS",144
"Shawnee, KS",65807
"Simpson, KS",79
"Smolan, KS",204
"Soldier, KS",132
"Solomon, KS",1000
"Spearville, KS",784
"Speed, KS",34
"Spivey, KS",78
"Stafford, KS",949
"Stark, KS",67
"Sterling, KS",2209
"Stockton, KS",1257
"Sublette, KS",1339
"Summerfield, KS",147
"Susank, KS",31
"Sylvia, KS",205
"Syracuse, KS",1706
"Tampa, KS",102
"Tescott, KS",291
"Thayer, KS",470
"Timken, KS",65
"Tipton, KS",193
"Tonganoxie, KS",5583
"Topeka, KS",125310
"Toronto, KS",263
"Towanda, KS",1454
"Tribune, KS",745
"Troy, KS",960
"Turon, KS",371
"Tyro, KS",197
"Udall, KS",707
"Ulysses, KS",5604
"Uniontown, KS",264
"Utica, KS",141
"Vermillion, KS",102
"Victoria, KS",1212
"Vining, KS",42
"Viola, KS",128
"Virgil, KS",63
"WaKeeney, KS",1764
